region,province,municipal,barangay,dateCommitted,timeCommitted,stageoffelony,offense,offenseType
CALABARZON,LAGUNA,BAY,SANTO DOMINGO,11/19/2020,16:45:00,CONSUMMATED,"AN ACT INCREASING THE PENALTIES FOR ILLEGAL NUMBERS GAMES, AMENDING CERTAIN PROVISIONS OF ANTI-GAMBLING LAW PD. NO. 1602, AND FOR OTHER PURPOSES - PD 1602 as amended by RA 9287",Republic Act
CALABARZON,LAGUNA,BAY,PUYPUY,11/19/2020,14:30:00,CONSUMMATED,ANTI-GAMBLING LAW - PD 1602,Presedential Decree
CALABARZON,LAGUNA,BAY,PUYPUY,11/19/2020,5:40:00,CONSUMMATED,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
CALABARZON,LAGUNA,BAY,PUYPUY,11/19/2020,5:40:00,CONSUMMATED,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CALABARZON,LAGUNA,BAY,PUYPUY,11/19/2020,4:05:00,CONSUMMATED,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
CALABARZON,LAGUNA,BAY,PUYPUY,11/19/2020,4:05:00,CONSUMMATED,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CALABARZON,LAGUNA,BAY,BITIN,11/20/2020,21:30:00,CONSUMMATED,"COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS - RA 9165 Article II Section 5 para 1",Republic Act
CALABARZON,LAGUNA,BAY,BITIN,11/20/2020,21:30:00,CONSUMMATED,COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS - RA 9165 Article II Section 11,Republic Act
CALABARZON,LAGUNA,BAY,TRANCA,11/20/2020,23:30:00,CONSUMMATED,"COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS - RA 9165 Article II Section 5 para 1",Republic Act
CALABARZON,LAGUNA,BAY,TRANCA,11/20/2020,23:30:00,CONSUMMATED,COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS - RA 9165 Article II Section 11,Republic Act
CALABARZON,LAGUNA,BAY,SAN AGUSTIN (POB.),11/21/2020,15:30:00,CONSUMMATED,UNJUST VEXATIONS - RPC Art. 287,Crimes Against Personal Liberty And Security
CALABARZON,LAGUNA,BAY,MAITIM,11/28/2020,5:30:00,CONSUMMATED,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
CALABARZON,LAGUNA,BAY,MAITIM,11/28/2020,5:30:00,CONSUMMATED,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CALABARZON,LAGUNA,BAY,DILA,11/30/2020,13:25:00,CONSUMMATED,ECOLOGICAL SOLID WASTE MANAGEMENT ACT OF 2000 - RA 9003,Republic Act
CALABARZON,LAGUNA,BAY,PUYPUY,11/30/2020,14:15:00,CONSUMMATED,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CALABARZON,LAGUNA,BAY,PUYPUY,12/1/2020,19:15:00,CONSUMMATED,"AN ACT INCREASING THE PENALTIES FOR ILLEGAL NUMBERS GAMES, AMENDING CERTAIN PROVISIONS OF ANTI-GAMBLING LAW PD. NO. 1602, AND FOR OTHER PURPOSES - PD 1602 as amended by RA 9287",Republic Act
CALABARZON,LAGUNA,BAY,PUYPUY,12/1/2020,19:00:00,CONSUMMATED,"AN ACT INCREASING THE PENALTIES FOR ILLEGAL NUMBERS GAMES, AMENDING CERTAIN PROVISIONS OF ANTI-GAMBLING LAW PD. NO. 1602, AND FOR OTHER PURPOSES - PD 1602 as amended by RA 9287",Republic Act
CALABARZON,LAGUNA,BAY,PUYPUY,12/1/2020,18:45:00,CONSUMMATED,"AN ACT INCREASING THE PENALTIES FOR ILLEGAL NUMBERS GAMES, AMENDING CERTAIN PROVISIONS OF ANTI-GAMBLING LAW PD. NO. 1602, AND FOR OTHER PURPOSES - PD 1602 as amended by RA 9287",Republic Act
CALABARZON,LAGUNA,BAY,SAN ANTONIO,12/1/2020,16:30:00,CONSUMMATED,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CALABARZON,LAGUNA,BAY,SANTO DOMINGO,12/3/2020,19:30:00,CONSUMMATED,DIRECT ASSAULTS  - RPC Art. 148,Crimes Against Popular Representation
CALABARZON,LAGUNA,BAY,PUYPUY,12/4/2020,16:00:00,CONSUMMATED,"SPECIAL PROTECTION OF CHILDREN AGAINST CHILD ABUSE, EXPLOITATION AND DISCRIMINATION ACT. (ANTI- CHILD ABUSE LAW)  - RA 7610",Republic Act
CALABARZON,LAGUNA,BAY,BITIN,12/4/2020,22:30:00,CONSUMMATED,"COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS - RA 9165 Article II Section 5 para 1",Republic Act
